Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
PS2,2004.0,Misc,Sony Computer Entertainment,0.38,78.0,30.0,7,9.0,E10+
XB,2005.0,Simulation,Konami Digital Entertainment,0.38,75.0,16.0,8.6,8.0,E10+
3DS,2011.0,Sports,Konami Digital Entertainment,0.38,73.0,43.0,6.7,18.0,E
PS3,2013.0,Misc,Ubisoft,0.38,77.0,6.0,7.1,25.0,E10+
WiiU,2014.0,Sports,Nintendo,0.38,68.0,21.0,7,106.0,E10+
GC,2004.0,Action,Electronic Arts,0.38,67.0,22.0,7.3,8.0,E
WiiU,2012.0,Action,Activision,0.37,80.0,8.0,6.9,22.0,E10+
PS3,2013.0,Racing,Codemasters,0.37,82.0,20.0,6.6,173.0,E
PS2,2006.0,Fighting,Atari,0.37,72.0,31.0,5.8,21.0,T
PS3,2008.0,Misc,Disney Interactive Studios,0.37,54.0,11.0,3.5,6.0,E
GC,2005.0,Action,Activision,0.37,76.0,36.0,7.2,21.0,T
X360,2006.0,Sports,Spike,0.37,66.0,22.0,3.9,37.0,E
PS3,2006.0,Sports,Take-Two Interactive,0.37,80.0,20.0,7.4,8.0,E
WiiU,2012.0,Misc,Ubisoft,0.37,66.0,14.0,7.8,37.0,E10+
GC,2002.0,Platform,THQ,0.37,39.0,7.0,4.7,14.0,E
PC,2010.0,Racing,Electronic Arts,0.37,86.0,14.0,6.7,556.0,E10+
PS2,2006.0,Action,Midway Games,0.37,51.0,34.0,7,15.0,E10+
PS2,2002.0,Sports,3DO,0.37,84.0,23.0,7.9,7.0,E
X360,2009.0,Misc,Electronic Arts,0.37,66.0,19.0,6.4,9.0,E
X360,2007.0,Role-Playing,Microsoft Game Studios,0.37,55.0,44.0,5.9,49.0,M
PS2,2007.0,Action,Activision,0.37,62.0,15.0,8.3,19.0,E10+
PS3,2010.0,Fighting,Electronic Arts,0.37,77.0,47.0,6.9,38.0,T
DS,2009.0,Misc,Activision,0.37,70.0,30.0,6.3,7.0,E10+
X360,2005.0,Shooter,Activision,0.37,75.0,52.0,6.7,80.0,M
PS3,2013.0,Sports,Electronic Arts,0.37,74.0,28.0,3.8,26.0,E
PS3,2007.0,Sports,Electronic Arts,0.37,85.0,31.0,8.2,57.0,T
PC,2011.0,Shooter,Bethesda Softworks,0.37,79.0,32.0,5.2,1618.0,M
GC,2004.0,Role-Playing,Nintendo,0.37,65.0,31.0,8.1,27.0,T
PSP,2010.0,Action,Ubisoft,0.37,65.0,10.0,7.4,14.0,T
PS4,2016.0,Shooter,Take-Two Interactive,0.37,84.0,39.0,8.5,210.0,M
3DS,2014.0,Misc,Square Enix,0.37,83.0,52.0,8.2,66.0,T
Wii,2009.0,Racing,Codemasters,0.37,51.0,10.0,5.5,22.0,E10+
GC,2002.0,Action,Nintendo,0.37,74.0,18.0,8.3,19.0,E
X360,2006.0,Action,Eidos Interactive,0.37,80.0,54.0,7.3,84.0,T
PS4,2016.0,Sports,505 Games,0.37,85.0,50.0,8.7,1290.0,E
Wii,2007.0,Sports,Take-Two Interactive,0.37,66.0,15.0,7.1,14.0,E
DS,2006.0,Platform,Vivendi Games,0.37,68.0,10.0,6.8,8.0,E
PSP,2007.0,Racing,THQ,0.37,73.0,6.0,7.8,11.0,T
X360,2011.0,Role-Playing,Square Enix,0.37,72.0,55.0,5.9,102.0,T
PS4,2016.0,Racing,Codemasters,0.37,85.0,46.0,8.1,196.0,E
PSP,2005.0,Sports,Electronic Arts,0.37,73.0,23.0,7.4,14.0,E
PS2,2006.0,Sports,Electronic Arts,0.37,59.0,27.0,7.7,42.0,E
Wii,2009.0,Sports,Sega,0.37,73.0,33.0,7.7,21.0,E
Wii,2009.0,Action,Codemasters,0.37,68.0,30.0,7.9,15.0,T
DS,2007.0,Platform,Vivendi Games,0.37,56.0,4.0,2.7,6.0,E
PSP,2007.0,Action,Electronic Arts,0.37,52.0,11.0,7.6,20.0,E10+
X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.37,62.0,61.0,7.5,26.0,M
PS2,2006.0,Role-Playing,Namco Bandai Games,0.37,81.0,34.0,9,59.0,T
Wii,2008.0,Role-Playing,Rising Star Games,0.37,79.0,34.0,8.5,39.0,E10+
Wii,2009.0,Action,Eidos Interactive,0.37,79.0,9.0,8.3,12.0,E10+
DS,2008.0,Fighting,Takara Tomy,0.37,55.0,12.0,5.7,11.0,T
WiiU,2012.0,Action,Warner Bros. Interactive Entertainment,0.37,73.0,42.0,7.4,109.0,E10+
PSP,2006.0,Role-Playing,Activision,0.37,81.0,19.0,7.5,14.0,T
PS2,2007.0,Simulation,Electronic Arts,0.37,71.0,17.0,8,15.0,T
PSP,2006.0,Sports,Electronic Arts,0.37,75.0,16.0,7.9,11.0,E
Wii,2009.0,Role-Playing,Rising Star Games,0.36,67.0,41.0,8.3,63.0,T
GC,2004.0,Shooter,Electronic Arts,0.36,60.0,35.0,6.7,14.0,T
PC,2011.0,Action,Electronic Arts,0.36,69.0,18.0,5.8,338.0,T
PS2,2008.0,Fighting,Namco Bandai Games,0.36,48.0,17.0,7.9,37.0,T
DS,2006.0,Misc,Nintendo,0.36,87.0,51.0,8.6,105.0,E10+
PS2,2001.0,Sports,Konami Digital Entertainment,0.36,58.0,15.0,7.8,14.0,E
PC,2014.0,Strategy,Take-Two Interactive,0.36,81.0,78.0,5.5,1027.0,E10+
DS,2008.0,Platform,Konami Digital Entertainment,0.36,85.0,46.0,8.7,111.0,T
PC,2009.0,Shooter,Valve Software,0.36,89.0,55.0,8.5,2530.0,M
Wii,2010.0,Misc,MTV Games,0.36,76.0,12.0,8.8,11.0,T
WiiU,2016.0,Shooter,Nintendo,0.36,69.0,82.0,7.4,662.0,E10+
PS3,2009.0,Action,Konami Digital Entertainment,0.36,59.0,41.0,6.4,28.0,M
X360,2010.0,Action,Ubisoft,0.36,68.0,57.0,6.3,29.0,T
PS2,2003.0,Sports,3DO,0.36,83.0,17.0,8.1,12.0,E
PS2,2005.0,Action,Vivendi Games,0.36,53.0,6.0,6,8.0,E
PS2,2005.0,Shooter,Midway Games,0.36,50.0,24.0,7,21.0,M
DS,2009.0,Role-Playing,Namco Bandai Games,0.36,73.0,21.0,7.9,24.0,E10+
PS3,2009.0,Platform,Capcom,0.36,71.0,48.0,7.4,62.0,M
PS2,2001.0,Simulation,Tecmo Koei,0.36,77.0,13.0,8.5,23.0,E
PS2,2005.0,Action,THQ,0.36,60.0,12.0,7.1,8.0,E10+
PSV,2015.0,Role-Playing,Namco Bandai Games,0.36,70.0,4.0,7.1,27.0,T
GBA,2002.0,Action,Nintendo,0.36,72.0,7.0,9.3,18.0,E
PS2,2001.0,Role-Playing,Sony Computer Entertainment,0.36,70.0,23.0,8.5,14.0,T
X360,2009.0,Fighting,PQube,0.36,86.0,51.0,8.5,70.0,T
XB,2005.0,Action,Take-Two Interactive,0.36,84.0,27.0,8.7,15.0,E
Wii,2009.0,Fighting,THQ,0.36,49.0,16.0,6.2,14.0,E10+
Wii,2008.0,Action,Disney Interactive Studios,0.36,63.0,5.0,7.1,12.0,T
PS,2001.0,Racing,Activision,0.36,54.0,16.0,6.3,4.0,T
XB,2004.0,Simulation,Microsoft Game Studios,0.36,81.0,66.0,7.5,23.0,T
PSP,2006.0,Role-Playing,Square Enix,0.36,80.0,39.0,8.4,57.0,T
PS4,2015.0,Misc,Ubisoft,0.36,73.0,10.0,6.8,20.0,E10+
XB,2003.0,Sports,Sega,0.36,91.0,25.0,8.9,45.0,E
PS2,2004.0,Sports,Zoo Digital Publishing,0.36,59.0,6.0,8.7,32.0,E
X360,2010.0,Action,Activision,0.36,76.0,68.0,7.6,96.0,T
Wii,2007.0,Action,Ubisoft,0.36,60.0,17.0,5.9,11.0,E10+
3DS,2014.0,Role-Playing,Nintendo,0.36,57.0,25.0,4.8,19.0,E10+
PS2,2003.0,Role-Playing,Sony Computer Entertainment,0.36,72.0,39.0,8.2,33.0,T
XOne,2016.0,Action,Ubisoft,0.36,83.0,9.0,7.7,131.0,M
PSP,2008.0,Sports,Electronic Arts,0.36,53.0,4.0,5.5,6.0,E
XB,2002.0,Action,Electronic Arts,0.36,77.0,13.0,7.2,12.0,E
PS2,2001.0,Racing,Midway Games,0.36,45.0,23.0,5.3,10.0,T
WiiU,2012.0,Sports,Ubisoft,0.36,31.0,13.0,2.7,18.0,E
XB,2001.0,Platform,TDK Mediactive,0.36,49.0,19.0,5.4,9.0,T
PSV,2013.0,Role-Playing,Nippon Ichi Software,0.35,78.0,15.0,8.4,198.0,T
PSV,2012.0,Racing,Sony Computer Entertainment,0.35,79.0,63.0,8.2,191.0,E10+
DS,2005.0,Simulation,Nintendo,0.35,81.0,45.0,8.7,45.0,T
PS3,2013.0,Shooter,D3Publisher,0.35,69.0,28.0,7.5,52.0,M
PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.35,84.0,17.0,8,1671.0,M
PS2,2006.0,Role-Playing,Konami Digital Entertainment,0.35,76.0,43.0,7.6,109.0,T
X360,2013.0,Sports,Electronic Arts,0.35,77.0,28.0,6.2,26.0,E
PSP,2008.0,Platform,Sony Computer Entertainment,0.35,85.0,55.0,8.4,44.0,E
PSP,2009.0,Sports,Sega,0.35,69.0,10.0,6.9,7.0,E
PS2,2003.0,Action,Ubisoft,0.35,63.0,21.0,8.3,14.0,T
DS,2007.0,Strategy,THQ,0.35,81.0,25.0,9.1,22.0,E10+
PS3,2010.0,Action,Capcom,0.35,59.0,50.0,6,36.0,T
PS3,2009.0,Misc,Activision,0.35,73.0,34.0,7.2,9.0,T
Wii,2009.0,Sports,Take-Two Interactive,0.35,79.0,8.0,6.8,16.0,E10+
PS2,2001.0,Fighting,Virgin Interactive,0.35,71.0,20.0,8.6,34.0,T
PS2,2003.0,Racing,THQ,0.35,56.0,13.0,5.3,8.0,T
PS,2000.0,Role-Playing,Atlus,0.35,83.0,11.0,8.4,25.0,T
PS4,2016.0,Shooter,Deep Silver,0.35,48.0,43.0,3.8,212.0,M
WiiU,2012.0,Action,Ubisoft,0.35,85.0,26.0,7.1,216.0,M
PS4,2016.0,Fighting,Namco Bandai Games,0.35,66.0,45.0,7.8,49.0,T
GBA,2003.0,Action,THQ,0.35,39.0,13.0,5.8,11.0,E
Wii,2009.0,Fighting,Ubisoft,0.35,67.0,34.0,8.2,21.0,E10+
PSV,2013.0,Action,Tecmo Koei,0.35,71.0,44.0,8,136.0,T
PC,2015.0,Simulation,Sega,0.35,81.0,34.0,6.9,97.0,E
PS2,2003.0,Action,Capcom,0.35,65.0,28.0,6.6,48.0,M
GC,2006.0,Racing,Electronic Arts,0.35,75.0,12.0,7.8,14.0,E10+
X360,2010.0,Fighting,Electronic Arts,0.35,79.0,63.0,7,55.0,T
PS3,2013.0,Shooter,Trion Worlds,0.35,59.0,21.0,6.9,145.0,M
X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.35,48.0,50.0,5,53.0,T
PS2,2002.0,Fighting,Sammy Corporation,0.35,87.0,31.0,8.7,34.0,T
Wii,2007.0,Action,Zoo Digital Publishing,0.35,27.0,9.0,4.8,26.0,E10+
PS2,2005.0,Shooter,Ubisoft,0.35,70.0,15.0,6.9,9.0,M
X360,2008.0,Racing,Capcom,0.35,68.0,20.0,5.6,12.0,E
XOne,2016.0,Action,Warner Bros. Interactive Entertainment,0.35,71.0,18.0,5.1,15.0,E10+
PS2,2002.0,Sports,Acclaim Entertainment,0.35,85.0,31.0,8.7,14.0,T
PS4,2016.0,Platform,Electronic Arts,0.35,69.0,50.0,4.7,578.0,T
XOne,2014.0,Shooter,505 Games,0.35,63.0,12.0,6.6,68.0,M
GC,2004.0,Sports,Electronic Arts,0.35,81.0,30.0,8,4.0,E
PS2,2003.0,Misc,Konami Digital Entertainment,0.35,83.0,29.0,9.1,17.0,E
PS2,2003.0,Shooter,Vivendi Games,0.35,81.0,28.0,8.9,17.0,T
PS2,2000.0,Role-Playing,Ubisoft,0.35,59.0,12.0,7.8,4.0,T
PS3,2008.0,Shooter,Activision,0.35,60.0,30.0,6.4,14.0,T
PS,1999.0,Role-Playing,Kadokawa Shoten,0.35,86.0,12.0,8.9,37.0,T
PSP,2006.0,Sports,Sony Computer Entertainment,0.35,83.0,30.0,8.5,32.0,E
GC,2006.0,Platform,Activision,0.35,61.0,21.0,9.3,6.0,E10+
PS2,2005.0,Adventure,Global Star,0.35,35.0,21.0,4.1,28.0,E
PS4,2016.0,Action,Ubisoft,0.35,81.0,52.0,7.9,110.0,E
Wii,2011.0,Sports,Electronic Arts,0.34,85.0,14.0,6.7,7.0,E
X360,2007.0,Action,Electronic Arts,0.34,69.0,48.0,6.3,108.0,M
PS2,2006.0,Action,Tecmo Koei,0.34,62.0,23.0,9.1,24.0,T
WiiU,2013.0,Shooter,Activision,0.34,69.0,6.0,3.4,256.0,M
PS3,2011.0,Action,Activision,0.34,57.0,41.0,5.6,27.0,T
DC,1999.0,Fighting,Namco Bandai Games,0.34,98.0,24.0,8.8,200.0,T
PS,1999.0,Racing,Psygnosis,0.34,89.0,14.0,8.5,15.0,E
Wii,2011.0,Fighting,THQ,0.34,74.0,6.0,5.2,9.0,T
X360,2011.0,Fighting,THQ,0.34,75.0,64.0,7.2,45.0,T
PS3,2009.0,Action,Eidos Interactive,0.34,73.0,37.0,8.7,62.0,E10+
X360,2012.0,Fighting,Namco Bandai Games,0.34,83.0,35.0,7.5,90.0,T
GBA,2002.0,Action,Atari,0.34,73.0,9.0,6.6,14.0,T
PS2,2003.0,Simulation,Tecmo Koei,0.34,77.0,21.0,9.1,18.0,E
DS,2009.0,Action,Eidos Interactive,0.34,61.0,10.0,5.8,4.0,E10+
PS2,2004.0,Adventure,Disney Interactive Studios,0.34,65.0,34.0,8.6,20.0,E10+
Wii,2007.0,Strategy,Nintendo,0.34,75.0,38.0,7.6,45.0,T
PS2,2009.0,Racing,Sony Computer Entertainment,0.34,72.0,10.0,8.3,6.0,T
XB,2004.0,Shooter,Eidos Interactive,0.34,78.0,44.0,8.8,15.0,M
X360,2010.0,Strategy,Square Enix,0.34,75.0,28.0,7.1,23.0,E10+
PS2,2001.0,Simulation,Eidos Interactive,0.34,65.0,15.0,8.1,7.0,T
PS3,2010.0,Sports,Ubisoft,0.34,45.0,17.0,4.3,8.0,E
PC,2013.0,Strategy,THQ,0.34,80.0,82.0,2.1,6157.0,M
Wii,2006.0,Simulation,Nintendo,0.34,80.0,49.0,8,47.0,T
GC,2005.0,Fighting,THQ,0.34,76.0,36.0,6,263.0,T
XB,2004.0,Simulation,Electronic Arts,0.34,70.0,28.0,6.5,10.0,T
XOne,2014.0,Platform,Ubisoft,0.34,91.0,6.0,7.9,218.0,E10+
DS,2005.0,Action,THQ,0.34,67.0,5.0,7.6,10.0,E
PS3,2008.0,Misc,Electronic Arts,0.34,54.0,4.0,6.7,13.0,E
DS,2008.0,Simulation,Electronic Arts,0.34,69.0,16.0,7.3,8.0,E
X360,2006.0,Action,Microsoft Game Studios,0.34,56.0,51.0,7.3,58.0,M
PS3,2007.0,Action,THQ,0.34,69.0,35.0,7.2,40.0,M
PS2,2004.0,Adventure,Vivendi Games,0.34,60.0,44.0,6.3,18.0,M
XB,2006.0,Sports,Electronic Arts,0.34,75.0,29.0,8.6,17.0,E
PSP,2011.0,Fighting,Namco Bandai Games,0.34,59.0,16.0,7.2,26.0,T
X360,2006.0,Shooter,Vivendi Games,0.34,85.0,44.0,7.3,131.0,M
3DS,2011.0,Strategy,Ubisoft,0.34,77.0,49.0,7.9,78.0,T
GBA,2005.0,Racing,Disney Interactive Studios,0.34,47.0,9.0,6.8,4.0,E
GC,2003.0,Action,Konami Digital Entertainment,0.34,57.0,25.0,8,8.0,E
X360,2005.0,Action,Microsoft Game Studios,0.34,79.0,76.0,8.1,107.0,T
PS3,2009.0,Action,Tecmo Koei,0.34,62.0,22.0,7,26.0,T
PS3,2010.0,Shooter,Sony Computer Entertainment,0.34,60.0,39.0,6.2,11.0,T
DS,2007.0,Puzzle,D3Publisher,0.34,82.0,41.0,8.7,32.0,E10+
PS2,2008.0,Action,Namco Bandai Games,0.34,52.0,8.0,6.5,8.0,T
PSP,2008.0,Role-Playing,Square Enix,0.34,75.0,37.0,7.1,26.0,T
PS2,2001.0,Racing,Atari,0.34,69.0,16.0,6.8,6.0,E
XB,2005.0,Shooter,NovaLogic,0.34,61.0,37.0,6.6,19.0,T
X360,2007.0,Action,Disney Interactive Studios,0.34,58.0,42.0,5.3,21.0,T
PS3,2007.0,Misc,Sony Computer Entertainment,0.33,75.0,43.0,8.2,51.0,T
XB,2006.0,Shooter,Ubisoft,0.33,66.0,14.0,6,27.0,T
PS3,2008.0,Sports,Electronic Arts,0.33,88.0,25.0,7.7,41.0,E10+
PS4,2016.0,Role-Playing,Square Enix,0.33,77.0,74.0,8.3,222.0,E10+
GBA,2003.0,Platform,THQ,0.33,72.0,21.0,8.1,18.0,E
PS4,2016.0,Sports,Electronic Arts,0.33,78.0,26.0,5.8,67.0,E10+
DS,2007.0,Platform,Capcom,0.33,78.0,27.0,8.6,32.0,E10+
PS3,2009.0,Sports,Electronic Arts,0.33,75.0,17.0,7.8,6.0,E
PSP,2006.0,Role-Playing,Sony Computer Entertainment,0.33,87.0,45.0,8.2,74.0,T
X360,2011.0,Action,Electronic Arts,0.33,44.0,31.0,5.4,24.0,T
DS,2006.0,Adventure,THQ,0.33,64.0,9.0,6.4,7.0,E
PSP,2004.0,Misc,Sony Computer Entertainment,0.33,51.0,48.0,5.8,4.0,E10+
GC,2003.0,Fighting,THQ,0.33,76.0,26.0,8.7,47.0,T
GC,2005.0,Simulation,Electronic Arts,0.33,73.0,22.0,8.3,8.0,T
XB,2003.0,Action,Universal Interactive,0.33,69.0,25.0,7.7,9.0,T
PSP,2006.0,Role-Playing,Ubisoft,0.33,65.0,46.0,8.3,28.0,T
PS2,2001.0,Platform,Sony Computer Entertainment,0.33,91.0,18.0,9.1,72.0,E
XB,2003.0,Shooter,Eidos Interactive,0.33,84.0,50.0,7.6,37.0,M
X360,2011.0,Fighting,Rising Star Games,0.33,79.0,31.0,8.2,51.0,T
GC,2004.0,Platform,THQ,0.33,75.0,22.0,8.6,8.0,E
X360,2008.0,Shooter,LucasArts,0.33,63.0,60.0,6.2,45.0,T
X360,2009.0,Action,Microsoft Game Studios,0.33,68.0,65.0,6.8,55.0,M
PSV,2012.0,Action,Warner Bros. Interactive Entertainment,0.33,62.0,9.0,6.7,46.0,E10+
Wii,2007.0,Action,Activision,0.33,62.0,16.0,7.6,7.0,E
PS2,2002.0,Sports,Activision,0.33,77.0,19.0,8.4,15.0,E
PS3,2013.0,Shooter,City Interactive,0.33,52.0,15.0,6,82.0,M
PS2,2002.0,Fighting,Acclaim Entertainment,0.33,59.0,15.0,6.7,6.0,T
X360,2009.0,Sports,Sega,0.33,70.0,43.0,6.2,15.0,E
PSP,2006.0,Fighting,Capcom,0.33,80.0,35.0,8,27.0,T
PS2,2009.0,Sports,Sony Computer Entertainment,0.33,79.0,7.0,7.5,12.0,E
GBA,2004.0,Platform,Nintendo,0.33,74.0,10.0,8.6,12.0,E
XB,2006.0,Fighting,Electronic Arts,0.33,83.0,32.0,9,21.0,T
PS2,2003.0,Action,Capcom,0.33,59.0,32.0,9,24.0,M
DS,2007.0,Puzzle,Nintendo,0.33,86.0,25.0,8.2,15.0,E
X360,2007.0,Action,Ubisoft,0.33,78.0,35.0,8.6,84.0,T
PS3,2010.0,Sports,Activision,0.33,60.0,4.0,5.4,9.0,T
PS2,2006.0,Role-Playing,Tecmo Koei,0.33,84.0,54.0,6.4,42.0,T
PS2,2002.0,Adventure,Capcom,0.33,69.0,28.0,7.6,38.0,M
DS,2007.0,Role-Playing,Nintendo,0.33,75.0,30.0,8.5,37.0,T
GC,2005.0,Shooter,Activision,0.33,76.0,28.0,7.9,14.0,T
3DS,2015.0,Fighting,Namco Bandai Games,0.33,61.0,32.0,6.6,32.0,T
PS2,2003.0,Role-Playing,Tecmo Koei,0.33,84.0,42.0,8.9,74.0,T
PS2,2005.0,Fighting,Ignition Entertainment,0.33,66.0,21.0,8.8,6.0,T
X360,2010.0,Role-Playing,Sega,0.33,74.0,43.0,7.7,96.0,T
Wii,2011.0,Action,Electronic Arts,0.33,47.0,6.0,6.6,5.0,T
GC,2006.0,Platform,THQ,0.33,74.0,5.0,7.7,12.0,E
PSP,2008.0,Sports,Sony Computer Entertainment,0.33,83.0,14.0,8.4,12.0,E
GBA,2003.0,Platform,Disney Interactive Studios,0.33,62.0,4.0,7.7,6.0,E
GBA,2003.0,Misc,THQ,0.33,55.0,4.0,7.8,6.0,E
PC,2012.0,Action,Electronic Arts,0.33,55.0,30.0,5.4,599.0,M
GC,2005.0,Sports,Electronic Arts,0.33,88.0,20.0,8.7,16.0,E
Wii,2007.0,Sports,Electronic Arts,0.33,74.0,52.0,8.1,60.0,E
PSV,2013.0,Misc,Nippon Ichi Software,0.33,80.0,55.0,8.1,235.0,M
PS3,2009.0,Action,Electronic Arts,0.33,66.0,35.0,7.1,17.0,E10+
GC,2006.0,Action,THQ,0.33,63.0,11.0,6.9,11.0,E10+
Wii,2008.0,Racing,THQ,0.33,70.0,7.0,8.3,9.0,E
PS3,2012.0,Action,Sega,0.33,72.0,33.0,8.2,179.0,M
X360,2010.0,Sports,Hudson Soft,0.33,26.0,16.0,3.7,9.0,E10+
XB,2006.0,Sports,Take-Two Interactive,0.33,71.0,21.0,5.7,12.0,E
X360,2008.0,Action,Sega,0.33,45.0,33.0,5.8,33.0,M
DS,2007.0,Sports,Electronic Arts,0.33,60.0,8.0,7.6,13.0,E
PC,2008.0,Role-Playing,Atari,0.32,86.0,30.0,8.5,1660.0,M
Wii,2011.0,Adventure,Nintendo,0.32,65.0,26.0,8.2,5.0,E
Wii,2010.0,Action,Sega,0.32,41.0,11.0,4.6,12.0,T
PS2,2003.0,Shooter,Vivendi Games,0.32,69.0,21.0,7.8,16.0,M
X360,2009.0,Strategy,Eidos Interactive,0.32,76.0,48.0,7.4,41.0,T
Wii,2006.0,Action,Konami Digital Entertainment,0.32,75.0,46.0,7.4,33.0,E
PS3,2010.0,Misc,Konami Digital Entertainment,0.32,75.0,25.0,6.3,4.0,T
3DS,2015.0,Misc,Sega,0.32,80.0,32.0,8.5,71.0,E10+
XOne,2015.0,Misc,Ubisoft,0.32,66.0,10.0,6.1,18.0,E10+
PS3,2008.0,Action,Sega,0.32,44.0,30.0,5.6,23.0,M
PC,2011.0,Shooter,Electronic Arts,0.32,87.0,28.0,8.3,974.0,M
PS2,2001.0,Racing,Sony Computer Entertainment,0.32,77.0,21.0,8.3,21.0,T
X360,2011.0,Misc,Ubisoft,0.32,66.0,17.0,5.8,8.0,T
XB,2005.0,Sports,Electronic Arts,0.32,89.0,41.0,8.9,10.0,E
Wii,2009.0,Role-Playing,Activision,0.32,50.0,8.0,5.2,16.0,T
PS3,2013.0,Action,Capcom,0.32,72.0,37.0,7.4,424.0,M
X360,2012.0,Action,Konami Digital Entertainment,0.32,68.0,38.0,7.3,269.0,M
PS3,2011.0,Action,Capcom,0.32,72.0,31.0,7.1,35.0,M
XOne,2015.0,Fighting,Namco Bandai Games,0.32,67.0,18.0,7.2,128.0,T
X360,2007.0,Role-Playing,Atari,0.32,79.0,56.0,7.9,97.0,T
PS,1999.0,Simulation,Ubisoft,0.32,82.0,6.0,9.3,78.0,E
X360,2012.0,Fighting,Ubisoft Annecy,0.32,76.0,39.0,7.9,95.0,M
X360,2009.0,Action,Codemasters,0.32,75.0,60.0,7.2,46.0,T
X360,2007.0,Simulation,Konami Digital Entertainment,0.32,74.0,26.0,8.8,5.0,E10+
PC,2009.0,Action,Eidos Interactive,0.32,91.0,29.0,8.7,1736.0,T
PSP,2007.0,Strategy,THQ,0.32,67.0,25.0,7.6,26.0,T
PS2,2005.0,Shooter,Ubisoft,0.32,74.0,37.0,8.4,42.0,M
X360,2005.0,Sports,Activision,0.32,75.0,43.0,7.2,21.0,T
X360,2007.0,Puzzle,Namco Bandai Games,0.32,73.0,52.0,7,40.0,E
GC,2003.0,Action,Ubisoft,0.32,92.0,33.0,8.4,41.0,T
PS3,2011.0,Action,Electronic Arts,0.32,43.0,21.0,5.7,27.0,T
PS2,2000.0,Simulation,Sony Computer Entertainment,0.32,79.0,18.0,8.4,9.0,E
PC,2016.0,Role-Playing,Activision,0.32,88.0,62.0,7.5,535.0,T
PSV,2014.0,Misc,Sega,0.32,81.0,8.0,8.4,69.0,T
Wii,2006.0,Fighting,Sega,0.32,58.0,30.0,7.5,24.0,T
PS3,2008.0,Sports,Electronic Arts,0.32,63.0,37.0,6.9,19.0,E
PS,2000.0,Sports,Electronic Arts,0.32,85.0,10.0,7.8,5.0,E
PS3,2011.0,Shooter,Codemasters,0.32,67.0,36.0,6.3,18.0,M
PSP,2009.0,Racing,Sony Computer Entertainment,0.32,55.0,13.0,5.7,10.0,E10+
PS2,2003.0,Platform,Konami Digital Entertainment,0.32,59.0,12.0,8.5,6.0,E
PS3,2012.0,Action,Konami Digital Entertainment,0.32,70.0,33.0,4.8,136.0,M
PS2,2004.0,Misc,Konami Digital Entertainment,0.32,82.0,25.0,7.8,10.0,E
PSP,2010.0,Shooter,Electronic Arts,0.32,49.0,11.0,6,32.0,M
PSV,2015.0,Misc,Nippon Ichi Software,0.32,76.0,51.0,8.6,83.0,T
PS2,2002.0,Fighting,Ubisoft,0.32,68.0,19.0,8,8.0,T
PS2,2003.0,Sports,Activision,0.32,78.0,15.0,8.3,12.0,E
X360,2006.0,Shooter,Take-Two Interactive,0.32,79.0,80.0,7.3,117.0,M
PSP,2008.0,Sports,Ubisoft,0.32,70.0,5.0,7.5,4.0,E10+
PS3,2007.0,Role-Playing,Sony Computer Entertainment,0.32,75.0,55.0,8.2,145.0,T
PS4,2014.0,Action,Square Enix,0.32,59.0,60.0,6.9,310.0,M
PS3,2012.0,Shooter,Take-Two Interactive,0.32,79.0,28.0,7.6,127.0,M
XB,2002.0,Sports,Sega,0.32,87.0,15.0,7.9,9.0,E
XB,2003.0,Sports,Microsoft Game Studios,0.32,74.0,29.0,8.8,16.0,E
X360,2008.0,Sports,Electronic Arts,0.32,63.0,48.0,6.9,18.0,E
X360,2006.0,Racing,Atari,0.32,82.0,69.0,8,86.0,E10+
PSP,2005.0,Fighting,Electronic Arts,0.32,58.0,15.0,8.7,30.0,T
XB,2004.0,Strategy,Deep Silver,0.32,81.0,50.0,7.9,31.0,M
X360,2007.0,Shooter,Codemasters,0.32,63.0,46.0,7.4,70.0,M
PS2,2000.0,Strategy,Tecmo Koei,0.32,72.0,10.0,8.7,11.0,E
PC,2011.0,Role-Playing,Microsoft Game Studios,0.32,75.0,39.0,5.4,555.0,M
PS2,2002.0,Adventure,Sony Computer Entertainment,0.32,52.0,15.0,7.2,10.0,E
PS2,2009.0,Misc,Activision,0.32,87.0,4.0,6.4,5.0,T
PSP,2010.0,Role-Playing,Square Enix,0.32,53.0,45.0,5.5,21.0,M
PS3,2011.0,Action,Disney Interactive Studios,0.32,63.0,13.0,6.6,9.0,E10+
PSP,2009.0,Fighting,Namco Bandai Games,0.32,82.0,39.0,8.2,68.0,T
PS2,2004.0,Action,Tecmo Koei,0.32,71.0,29.0,8.8,19.0,T
XB,2002.0,Adventure,Microsoft Game Studios,0.32,80.0,31.0,9.3,96.0,T
X360,2007.0,Action,Vivendi Games,0.32,65.0,25.0,6.3,39.0,E10+
PS3,2011.0,Sports,505 Games,0.32,50.0,12.0,5.6,7.0,E
PS3,2012.0,Racing,Codemasters,0.32,61.0,27.0,5.6,34.0,E
PS3,2009.0,Action,Codemasters,0.32,72.0,42.0,7.6,24.0,T
